group,condition,Subject,phase,trial,target,hand_angle,cursor_error,movement_time,reaction_time,peak_velocity,rot_direction,rot
0,0,1,Base,177,-150,4.83,4.83,1.19281,0.06042,0.293267,CW,0
0,0,1,Base,185,-150,-10.3,-10.3,0.599668,0.306589,0.258105,CW,0
0,0,1,Base,154,-150,4.72,4.72,0.985656,0.505237,0.094776,CW,0
0,0,1,Base,184,-150,3.05,3.05,1.15758,0.659737,0.117088,CW,0
0,0,1,Base,7,-150,-5.46,-5.46,0.974552,0.471485,0.213927,CW,0
0,0,1,Base,85,-150,1.78,1.78,1.01421,0.48233,0.102051,CW,0
0,0,1,Base,121,-150,7.42,7.42,0.812028,0.36253,0.15772,CW,0
0,0,1,Base,8,-150,0.904,0.904,0.8671,0.494761,0.0231261,CW,0
0,0,1,Base,112,-150,-10.7,-10.7,0.68479,0.558448,0.204047,CW,0
0,0,1,Base,31,-150,-3.42,-3.42,0.8792,0.281503,0.199465,CW,0
0,0,1,Base,124,-150,-0.52,-0.52,0.797288,0.656325,0.0481999,CW,0
0,0,1,Base,38,-150,9.07,9.07,0.777259,0.136072,0.19669,CW,0
0,1,1,Base,143,0,-11.656,-11.656,1.021,0.781321,0.0963748,CW,0
0,1,1,Base,104,0,-11.6,-11.6,1.03796,0.376633,0.176311,CW,0
0,1,1,Base,53,0,-9.41,-9.41,0.761224,0.301719,0.0445978,CW,0
0,1,1,Base,50,0,-7.92,-7.92,1.00746,0.146376,0.121648,CW,0
0,1,1,Base,191,0,-20.7,-20.7,1.07968,0.713684,0.233919,CW,0
0,1,1,Base,67,0,-2.9,-2.9,0.688312,0.635807,0.0943256,CW,0
0,1,1,Base,118,30,-1.5,-1.5,0.903224,0.984127,0.0691814,CW,0
0,1,1,Base,74,30,-17.6,-17.6,0.85662,0.542703,0.143176,CW,0
0,1,1,Base,194,30,-8.95,-8.95,0.842636,0.292542,0.122904,CW,0
0,1,1,Base,96,30,-2.51,-2.51,1.15172,0.387743,0.0717186,CW,0
0,1,1,Base,18,30,5.34,5.34,1.01561,0.619282,0.00985599,CW,0
0,1,1,Base,40,30,2.18,2.18,0.868799,0.562655,0.0961112,CW,0
0,1,1,Base,160,60,-0.396,-0.396,0.890724,0.482367,0.042903,CW,0
0,1,1,Base,128,60,-5.29,-5.29,0.650168,0.212082,0.0466119,CW,0
0,1,1,Base,45,60,-12.3,-12.3,0.865714,0.447951,0.10794,CW,0
0,1,1,Base,21,60,-1.34,-1.34,0.907054,0.330697,0.112802,CW,0
0,1,1,Base,146,60,-8.52,-8.52,1.19389,0.48886,0.167179,CW,0
0,1,1,Base,66,60,-8.24,-8.24,0.640238,0.736594,0.0117588,CW,0
0,1,1,Base,139,90,-3.54,-3.54,0.724477,0.880464,0.0644337,CW,0
0,1,1,Base,171,90,-11.7,-11.7,0.923111,0.493907,0.0198218,CW,0
0,1,1,Base,120,90,-6.7,-6.7,0.786698,0.553407,0.291675,CW,0
0,1,1,Base,61,90,-0.346,-0.346,1.13673,0.506588,0.151057,CW,0
0,1,1,Base,84,90,-11.7,-11.7,0.57894,0.20934,0.300644,CW,0
0,1,1,Base,169,90,-5.71,-5.71,0.955356,0.315775,0.153955,CW,0
0,1,1,Base,183,120,-3.9,-3.9,0.657278,0.540765,0.171266,CW,0
0,1,1,Base,114,120,-5.51,-5.51,1.14839,0.506046,0.174707,CW,0
0,1,1,Base,186,120,-0.425,-0.425,0.601936,0.642495,0.125287,CW,0
0,1,1,Base,64,120,-7.24,-7.24,1.09295,0.305087,0.0323386,CW,0
0,1,1,Base,125,120,-5.96,-5.96,1.16213,-0.144259,0.121605,CW,0
0,1,1,Base,106,120,-4.59,-4.59,0.80835,0.489973,0.0907258,CW,0
0,1,1,Base,88,150,-0.8,-0.8,0.915504,0.338226,0.176828,CW,0
0,1,1,Base,68,150,-6.03,-6.03,0.906497,0.521187,0.210496,CW,0
0,1,1,Base,179,150,-6.26,-6.26,0.736335,0.502608,0.0270755,CW,0
0,1,1,Base,150,150,-8.85,-8.85,0.895106,0.864651,0.0493888,CW,0
0,1,1,Base,188,150,-5.43,-5.43,1.122,0.149497,0.270107,CW,0
0,1,1,Base,182,150,5.79,5.79,1.0976,0.752839,0.240963,CW,0
0,1,1,Base,137,-30,-8.13,-8.13,1.09692,0.421593,0.151629,CW,0
0,1,1,Base,105,-30,-7.31,-7.31,1.06711,0.579728,0.0533294,CW,0
0,1,1,Base,62,-30,-5.93,-5.93,1.26861,0.274121,0.0703127,CW,0
0,1,1,Base,24,-30,4.32,4.32,1.09014,0.477924,0.173474,CW,0
0,1,1,Base,9,-30,-5.17,-5.17,1.05634,0.858281,0.0548352,CW,0
0,1,1,Base,83,-30,7.54,7.54,0.924346,0.601648,0.160047,CW,0
0,1,1,Base,152,-60,-0.783,-0.783,0.684232,0.353238,0.169504,CW,0
0,1,1,Base,94,-60,-7.27,-7.27,1.14983,0.684577,0.193888,CW,0
0,1,1,Base,13,-60,0.187,0.187,1.32291,0.373438,0.0287226,CW,0
0,1,1,Base,59,-60,5.12,5.12,1.18058,0.755252,0.0757067,CW,0
0,1,1,Base,151,-60,6.67,6.67,1.00488,0.339696,0.178422,CW,0
0,1,1,Base,99,-60,-9.6,-9.6,0.839682,0.391144,0.308286,CW,0
0,1,1,Base,168,-90,-0.633,-0.633,0.618567,0.865004,0.0232978,CW,0
0,1,1,Base,170,-90,3.66,3.66,0.96811,0.345907,0.170351,CW,0
0,1,1,Base,189,-90,1.74,1.74,1.0259,0.444707,0.230964,CW,0
0,1,1,Base,10,-90,-1.19,-1.19,1.06997,0.218815,0.151558,CW,0
0,1,1,Base,173,-90,-4.12,-4.12,0.824677,0.280575,0.165716,CW,0
0,1,1,Base,142,-90,-8.14,-8.14,0.835652,0.490153,0.157806,CW,0
0,1,1,Base,149,-120,-1.5,-1.5,1.12374,0.363147,0.177157,CW,0
0,1,1,Base,166,-120,-0.726,-0.726,1.19203,0.524972,0.262914,CW,0
0,1,1,Base,91,-120,-2.68,-2.68,0.520667,0.42905,0.129021,CW,0
0,1,1,Base,90,-120,0.308,0.308,1.16717,0.740253,0.150157,CW,0
0,1,1,Base,80,-120,-3.12,-3.12,1.29573,0.241535,0.0233164,CW,0
0,1,1,Base,92,-120,-1.09,-1.09,0.915238,0.397314,0.127208,CW,0
0,1,1,Base,140,-150,2.94,2.94,1.0272,0.481766,0.0839299,CW,0
0,1,1,Base,93,-150,-5.29,-5.29,1.06262,0.226418,0.019293,CW,0
0,1,1,Base,52,-150,-1.63,-1.63,1.08376,0.845141,0.284527,CW,0
0,1,1,Base,155,-150,-4.2,-4.2,0.901444,0.324131,0.252359,CW,0
0,1,1,Base,132,-150,-7.15,-7.15,0.798782,0.616398,0.0073301,CW,0
0,1,1,Base,22,-150,-3.98,-3.98,1.24316,0.666769,0.000424025,CW,0
0,0,2,Base,87,0,-10,-10,0.597209,0.514817,0.12496,CCW,0
0,0,2,Base,115,0,-6.21,-6.21,1.07447,0.639526,0.186015,CCW,0
0,0,2,Base,195,0,-13.4,-13.4,0.949693,0.552215,0.122415,CCW,0
0,0,2,Base,6,0,-10.3,-10.3,1.26219,0.559432,0.178339,CCW,0
0,0,2,Base,15,0,-5.32,-5.32,0.690934,0.442606,0.0660928,CCW,0
0,0,2,Base,146,0,0.0439,0.0439,0.765098,0.38434,0.12387,CCW,0
0,0,2,Base,175,0,1.49,1.49,0.56937,0.19451,0.200161,CCW,0
0,0,2,Base,124,0,1.22,1.22,0.902972,0.431226,0.277881,CCW,0
0,0,2,Base,69,0,-4.24,-4.24,1.09136,0.331082,0.124159,CCW,0
0,0,2,Base,182,0,0.453,0.453,0.811282,0.315475,0.137032,CCW,0
0,0,2,Base,25,0,-10.8,-10.8,0.803656,0.386147,0.232695,CCW,0
0,0,2,Base,169,0,0.3,0.3,0.8463,0.533347,0.181203,CCW,0
0,0,2,Base,82,30,-14.6,-14.6,0.794749,0.348453,0.314462,CCW,0
0,0,2,Base,130,30,-10.9,-10.9,0.89922,0.739198,0.206085,CCW,0
0,0,2,Base,116,30,-4.95,-4.95,1.02053,0.408864,0.306917,CCW,0
0,0,2,Base,112,30,-1.44,-1.44,1.00364,0.562993,0.191721,CCW,0
0,0,2,Base,180,30,-5.24,-5.24,0.828311,0.472513,0.0644084,CCW,0
0,0,2,Base,60,30,0.451,0.451,0.660669,0.20019,0.131133,CCW,0
0,0,2,Base,81,30,3.95,3.95,0.95408,0.128671,0.240128,CCW,0
0,0,2,Base,1,30,-5.26,-5.26,0.962605,0.654635,0.167673,CCW,0
0,0,2,Base,38,30,4.03,4.03,1.18698,0.496938,0.293527,CCW,0
0,0,2,Base,106,30,2.7,2.7,0.607064,0.996715,0.132754,CCW,0
0,0,2,Base,147,30,5.5,5.5,0.83497,0.426014,0.132965,CCW,0
0,0,2,Base,196,30,-12.1,-12.1,0.984789,0.578519,0.201114,CCW,0
0,0,2,Base,92,60,-12.3,-12.3,0.80285,0.471447,0.183441,CCW,0
0,0,2,Base,75,60,-9.7,-9.7,0.576278,0.15742,0.196637,CCW,0
0,0,2,Base,198,60,-0.187,-0.187,1.07056,0.487072,0.246386,CCW,0
0,0,2,Base,158,60,-12.7,-12.7,0.490623,0.275217,0.186625,CCW,0
0,0,2,Base,170,60,-1.18,-1.18,0.98249,0.440228,0.0385135,CCW,0
0,0,2,Base,154,60,-0.385,-0.385,0.846272,0.36271,0.207847,CCW,0
0,0,2,Base,70,60,3.52,3.52,0.833078,0.322785,0.22466,CCW,0
0,0,2,Base,134,60,-7.28,-7.28,1.02534,0.670289,0.165539,CCW,0
0,0,2,Base,117,60,-8.25,-8.25,0.844615,0.381473,0.219635,CCW,0
0,0,2,Base,18,60,-9.25,-9.25,0.859187,0.454486,0.2323,CCW,0
0,0,2,Base,104,60,9.32,9.32,0.736685,0.468337,0.250656,CCW,0
0,0,2,Base,73,60,-5.72,-5.72,1.11618,0.18227,0.213014,CCW,0
0,0,2,Base,31,90,-8.5,-8.5,1.22962,0.374743,0.171158,CCW,0
0,0,2,Base,57,90,-0.144,-0.144,0.940546,0.686193,0.185107,CCW,0
0,0,2,Base,24,90,-4.78,-4.78,0.798225,0.744515,0.217001,CCW,0
0,0,2,Base,131,90,3.41,3.41,0.97863,0.466379,0.172779,CCW,0
0,0,2,Base,93,90,1.06,1.06,1.06082,0.0869811,0.0881276,CCW,0
0,0,2,Base,178,90,3.71,3.71,0.703109,0.466397,0.0636604,CCW,0
0,0,2,Base,108,90,-11.9,-11.9,0.945086,0.716373,0.209468,CCW,0
0,0,2,Base,84,90,7.88,7.88,0.810635,0.484572,0.251654,CCW,0
0,0,2,Base,171,90,-9.79,-9.79,1.21592,0.385382,0.293329,CCW,0
0,0,2,Base,121,90,-0.201,-0.201,0.932482,0.435278,0.206321,CCW,0
0,0,2,Base,8,90,-1.27,-1.27,0.688595,-0.116852,0.114621,CCW,0
0,0,2,Base,26,90,6.79,6.79,0.881184,0.412568,0.271155,CCW,0
0,0,2,Base,53,120,-7,-7,0.986179,0.389049,0.160387,CCW,0
0,0,2,Base,136,120,-4.95,-4.95,0.89717,0.507871,0.161722,CCW,0
0,0,2,Base,76,120,1.25,1.25,0.761287,0.468013,0.299501,CCW,0
0,0,2,Base,118,120,-7.42,-7.42,0.886076,0.607416,0.132121,CCW,0
0,0,2,Base,23,120,-7.7,-7.7,0.658305,0.423893,0.27856,CCW,0
0,0,2,Base,109,120,-4.65,-4.65,0.837953,0.661443,0.0760405,CCW,0
0,0,2,Base,34,120,-6.98,-6.98,1.34065,0.610297,0.1737,CCW,0
0,0,2,Base,119,120,2.01,2.01,1.22003,0.495744,0.160364,CCW,0
0,0,2,Base,5,120,-8.32,-8.32,1.06716,0.823527,0.0456161,CCW,0
0,0,2,Base,111,120,-6.58,-6.58,0.985518,0.435719,0.0505946,CCW,0
0,0,2,Base,86,120,-2.83,-2.83,1.05933,0.548613,0.0432271,CCW,0
0,0,2,Base,168,120,0.0822,0.0822,0.976291,0.476523,0.0623017,CCW,0
0,0,2,Base,157,150,1.25,1.25,0.944699,0.386574,0.190645,CCW,0
0,0,2,Base,181,150,1.7,1.7,0.972522,0.547564,0.327452,CCW,0
0,0,2,Base,142,150,4.33,4.33,0.79845,0.35343,0.0590121,CCW,0
0,0,2,Base,94,150,-11.4,-11.4,1.1148,0.364285,0.196772,CCW,0
0,0,2,Base,166,150,-9.09,-9.09,0.885134,0.540846,0.0306581,CCW,0
0,0,2,Base,148,150,-6,-6,0.986011,0.371742,0.167479,CCW,0
0,0,2,Base,63,150,8.01,8.01,1.12549,0.159299,0.104976,CCW,0
0,0,2,Base,172,150,-7.8,-7.8,0.84581,0.149109,0.18965,CCW,0
0,0,2,Base,141,150,-4.6,-4.6,0.865391,0.304701,0.131854,CCW,0
